Sprint,Day,Developer,Module,Task ID,Task,Priority,Status,Files Involved,Dependencies,Acceptance Criteria,Estimated Effort,Notes
Sprint 1,Day 1,Lovable,Landing Page,L-101,Audit RegionalLandingPage.tsx for broken regional content,High,Not Started,src/components/landing/RegionalLandingPage.tsx,None,All 14 regions render without errors,4 hours,Main landing page - 70KB file
Sprint 1,Day 1,Lovable,Landing Page,L-102,Audit GenieExplorePage - verify explore journey end-to-end,High,Not Started,src/pages/GenieExplorePage.tsx,None,Explore steps 1-N complete without errors,2 hours,Lazy-loaded page
Sprint 1,Day 1,Lovable,Landing Page,L-103,Fix broken hero sections and demos in components/landing/,Medium,Not Started,src/components/landing/HeroLandingVideo.tsx; src/components/landing/HeroInteractiveVideo.tsx,L-101,Hero videos play and interactive elements respond,3 hours,Multiple hero variants
Sprint 1,Day 1,Lovable,Legal Pages,L-104,Verify all legal pages render correctly,Low,Not Started,src/pages/TermsOfServicePage.tsx; src/pages/PrivacyPolicyPage.tsx; etc.,None,All 6 legal pages load and display content,1 hour,6 legal pages total
Sprint 1,Day 1,Claude,Genie Spark,C-101,Read and diagnose GenieSpark.tsx - trace creation flow,High,Not Started,src/pages/GenieSpark.tsx; src/components/genie-spark/SparkGuidedWizard.tsx,None,Issues documented with root causes identified,2 hours,Includes SmartContentPipeline and wizard
Sprint 1,Day 1,Claude,Genie Mind,C-102,Read and diagnose GenieMind.tsx - trace editing flow,High,Not Started,src/pages/GenieMind.tsx; src/components/genie-studio/ScriptEditorTab.tsx,None,Issues documented with root causes identified,2 hours,ScriptEditorTab is 127KB
Sprint 1,Day 1,Claude,Genie Deck,C-103,Read and diagnose GenieDeck.tsx - trace presentation flow,High,Not Started,src/pages/GenieDeck.tsx; src/components/genie-studio/presentation-generator/PresentationWizard.tsx,None,Issues documented with root causes identified,2 hours,Deck is standalone - no pipeline deps
Sprint 1,Day 1,Claude,All,C-104,Document all issues found across Spark/Mind/Deck,High,Not Started,N/A - documentation,C-101; C-102; C-103,Written diagnosis with fix plan for each module,1 hour,Input for Sprint 2+ planning
Sprint 1,Day 1,Both,All,S-101,End of Day 1 build check and sync,High,Not Started,npm run build,All Day 1 tasks,Build passes for both branches,30 min,Compare findings and adjust Sprint 2 if needed
Sprint 2,Day 2,Lovable,Products,L-201,Fix/enhance GenieProductsPage.tsx - product catalog display,High,Not Started,src/pages/GenieProductsPage.tsx,None,Product catalog renders all products with correct info,3 hours,Reads from genie-products.ts (locked - read only)
Sprint 2,Day 2,Lovable,Pricing,L-202,Fix pricing section in landing page,High,Not Started,src/components/landing/RegionalPricingSection.tsx,None,Pricing tiers display correctly per region,2 hours,Regional pricing varies
Sprint 2,Day 2,Lovable,Explore,L-203,Verify Explore demo pages work,Medium,Not Started,src/pages/GenieExploreDemoPage.tsx,L-102,Demo flows complete without errors,2 hours,Lazy-loaded demo page
Sprint 2,Day 2,Lovable,Landing Page,L-204,Add any missing landing page sections,Medium,Not Started,src/components/landing/**,L-101,All planned sections present and rendering,2 hours,Based on Day 1 audit findings
Sprint 2,Day 2,Claude,Genie Deck,C-201,Fix GenieDeck creation flow - PresentationWizard,High,Not Started,src/pages/GenieDeck.tsx; src/components/genie-studio/presentation-generator/PresentationWizard.tsx,C-103,Deck creates presentations end-to-end,4 hours,Standalone module - safest to fix first
Sprint 2,Day 2,Claude,Genie Deck,C-202,Fix presentation-generator sub-components,High,Not Started,src/components/genie-studio/presentation-generator/**,C-201,All 6 wizard steps complete without errors,3 hours,80+ sub-components in directory
Sprint 2,Day 2,Claude,Genie Deck,C-203,Verify Deck end-to-end: input → slides → preview → save,High,Not Started,src/pages/GenieDeck.tsx,C-201; C-202,Full presentation generation workflow works,1 hour,Manual verification
Sprint 2,Day 2,Both,All,S-201,End of Day 2 build check and sync,High,Not Started,npm run build,All Day 2 tasks,Build passes; Deck working,30 min,Deck complete = first module done
Sprint 3,Day 3,Lovable,Landing Page,L-301,Fix interactive demos - InteractiveTryGenieDemo and STTDemo,High,Not Started,src/components/landing/InteractiveTryGenieDemo.tsx; src/components/landing/STTDemo.tsx,None,Demos respond to user interaction correctly,3 hours,Speech-to-text demo may need API
Sprint 3,Day 3,Lovable,Landing Page,L-302,Fix DeepLTranslationDemo,Medium,Not Started,src/components/landing/DeepLTranslationDemo.tsx,None,Translation demo works with sample text,2 hours,May need DeepL API key
Sprint 3,Day 3,Lovable,Landing Page,L-303,Fix video showcases - GenieVideoShowcase and HeroLandingVideo,High,Not Started,src/components/landing/GenieVideoShowcase.tsx; src/components/landing/HeroLandingVideo.tsx,None,Videos play and showcase sections render,2 hours,GenieVideoShowcase is 37KB
